Ligne précédente,Date,Heure
مهرجان الإسكندرية السينمائي لدول البحر المتوسط 2023: مشاركة المغرب بفيلم,2 أكتوبر 2023,11:08
السيد بنسعيد يفتتح قاعة موسيقية جديدة بمستشفى الأطفال بالرباط,1 أكتوبر 2023,21:54
ماحي بينبين يفوز بجائزة Giustino Fortunato خلال الدورة 17 لجائزة,1 أكتوبر 2023,18:19
من التكوين إلى التميز، تلك قيم مدرسة الملك فهد العليا,30 شتنبر 2023,10:11
معرض الرياض الدولي للكتاب 2023: انطلاق الفعاليات بمشاركة المغرب,28 شتنبر 2023,11:27
تخصيص 5ر3 مليون درهم لدعم رقمنة وتحديث قاعات سينمائية,26 شتنبر 2023,16:48
بيت الشعر في المغرب يعلن فتح باب الترشيحات لنيل جائزة,23 شتنبر 2023,20:46
افتتاح معرض الصور الفوتوغرافية طنجة برؤيتين,23 شتنبر 2023,11:03
اليونسكو تنهي تصنيف 47 موقعا جديدا إلى قائمة التراث العالمي,23 شتنبر 2023,09:33
السيد بنسعيد يقوم بزيارات ميدانية لعدد من المآثر والمواقع التاريخية,22 شتنبر 2023,21:40
السيد بنسعيد يبرز العناية التي يحظى به التراث الثقافي المغربي,20 شتنبر 2023,15:10
الباحث المغربي إبراهيم المزند يتوج بجائزة الشارقة الدولية للتراث الثقافي,19 شتنبر 2023,11:26
الدورة السادسة لمهرجان الجونة السينمائي في أكتوبر المقبل بمشاركة مغربية,19 شتنبر 2023,10:41
مهرجان طنجاز 2023: تأجيل الدورة ال22,18 شتنبر 2023,11:31
اليونسكو تدرج 15 موقعًا جديدًا إلى قائمة التراث العالمي,18 شتنبر 2023,09:53
مهرجان فاس للموسيقى العالمية العريقة 2023: تأجيل الدورة ال 27,13 شتنبر 2023,18:50
أمينوكس يُعلن تأجيل إصدار ألبومه الفني تضامنًا مع ضحايا الزلزال,11 شتنبر 2023,11:00
المنتزه الجيولوجي مكون نموذج يحتذى به إفريقيا وعربيا (رئيس الشبكة,8 شتنبر 2023,00:22
مهرجان فاس للموسيقى العالمية العريقة .. واجهة لمختلف أشكال التعبير,6 شتنبر 2023,08:31
وزارة الثقافة: دعم بقيمة 43ر7 مليون درهم للجمعيات والهيئات الثقافية,5 شتنبر 2023,11:54
ملتقى الشارقة الدولي للراوي 2023: انطلاق الدورة 23 ما بين,3 شتنبر 2023,14:11
مهرجان سيني بلاج الهرهورة 2023: جرادة مالحة لادريس الروخ يفوز,31 غشت 2023,23:41
سيني بلاج-الهرهورة: المخرج دافيد بيير فيلا يدعو إلى ترويج أوسع,29 غشت 2023,20:29
مارتن سكورسيزي يشارك في الدورة ال20 لمهرجان مراكش الدولي للسينما,29 غشت 2023,10:41
مهرجان سيني بلاج-الهرهورة: الناقد وكاتب السيناريو المصري وليد سيف يشيد,27 غشت 2023,16:23
احتفالية دولية كبرى ببلوغ ثلاثة ملايين زائر للمعرض والمتحف الدولي,26 غشت 2023,09:20
معرض جماعي مغربي أمريكي لاتيني بمتحف التصوير الفوتوغرافي بالرباط,24 غشت 2023,20:29
معرض كتاب الطفل والشباب 2023: تنظيم الدورة الأولى ما بين,24 غشت 2023,04:50
المايسترو المغربي أمين بودشار يحلق بجمهور مهرجان العلمين في سماء,20 غشت 2023,18:34
إتحاد كتاب السيناريو يستأنف مفاوضاته مع استوديوهات هوليود,11 غشت 2023,12:51
إرجاء حفل جوائز إيمي إلى يناير بسبب الإضراب في هوليوود,10 غشت 2023,19:34
فتح باب الترشيح لاختيار الفيلم الطويل الممثل للمغرب في جوائز,9 غشت 2023,17:35
موسم مولاي عبد الله أمغار بالجديدة… تراث مغربي عريق يصارع,9 غشت 2023,13:52
باربي أول فيلم من إخراج امرأة تتجاوز عائداته العالمية مليار,7 غشت 2023,11:20
وزارة الثقافة تطلق منصة ثقافية للتعريف بالتراث المغربي والكتب والمهرجانات,3 غشت 2023,19:36
المكتبة الوسائطية الكبرى بمدينة العيون .. افتتاح ثاني أكبر مكتبة,30 يوليوز 2023,13:46
المهرجان الدولي أطفال السلام يختتم دورته ال 15 بالرباط,29 يوليوز 2023,16:05
العروض الفنية لنوستالجيا عاطفة الأمس بشالة عرفت حضور حوالي 20,28 يوليوز 2023,14:09
وزير الشباب والثقافة والتواصل يكشف سلسلة تدابير للنهوض بالقطاع السينمائي,27 يوليوز 2023,22:41
المؤسسة الوطنية للمتاحف: 12 سنة من المعارض الفنية الكبرى والمتنوعة,26 يوليوز 2023,19:27
معرض للمصور الفوتوغرافي العربي الرطل حول الرباط عاصمة الأنوار. إنجازات,26 يوليوز 2023,14:00
المهرجان الوطني للفيلم بطنجة يعود في دورته ال23,25 يوليوز 2023,16:42
بيلماون 2023: انطلاق فعاليات الدورة الأولى للكرنفال الدولي بأكادير,22 يوليوز 2023,23:50
فعاليات نوستالجيا عاطفة الأمس تنطلق في شالة بالرباط,22 يوليوز 2023,16:34
حفلات صيف الأوداية في دورتها ال11 تعود بكونيش أبي رقرارق,18 يوليوز 2023,13:06
موسم أصيلة الثقافي الدولي 2023: افتتاح معرض للفنان التشكيلي معاد,16 يوليوز 2023,11:11
جائزة الحسن الثاني للمخطوطات 2023: الإعلان عن تقديم الترشحات للدورة,13 يوليوز 2023,12:35
جائزة المغرب للكتاب 2023: فتح باب تقديم الترشحات,13 يوليوز 2023,11:45
سفير الامارات بالرباط: موسم طانطان يسهم في ترسيخ الروابط الثقافية,9 يوليوز 2023,21:14
وزارة الثقافة تفتح باب الترشيح للاستفادة من دعم الفنون التشكيلية,7 يوليوز 2023,12:27
إطلاق برنامج دعم المشاريع الثقافية والفنية في قطاع المسرح,3 يوليوز 2023,15:03
وزارة الثقافة تدعم مشاريع الفنون التشكيلية والبصرية بأزيد من 84ر3,3 يوليوز 2023,12:48
كرنفال بوجلود: موسم تتحول أزقة إمنتانوت إلى مسرح للفرجة والاحتفال,2 يوليوز 2023,17:14
وزارة الثقافة والتواصل: الأبحاث الأثرية بمنطقة الرحامنة تفضي إلى اكتشاف,26 يونيو 2023,21:55
المهرجان الدولي مغرب الحكايات 2023: اختتام فعاليات الدورة الـ 20,26 يونيو 2023,09:44
مهرجان كناوة وموسيقى العالم بالصويرة تستقطب نحو 300 ألف زائر,25 يونيو 2023,21:56
مهرجان كناوة وموسيقى العالم الصويرة 2023: اختتام فعاليات الدورة ال24,25 يونيو 2023,10:30
إطلاق برنامج مشترك بين المغرب والاتحاد الأوروبي لدعم الصناعات الإبداعية,23 يونيو 2023,22:30
وزارة الثقافة تدعم 81 مشروعا مسرحيا بحوالي 14 مليون درهم,23 يونيو 2023,13:39
مهرجان كناوة وموسيقى العالم 2023: تجربة متفردة مليئة بالألوان والمشاعر,22 يونيو 2023,23:02
السيد أخنوش: ليلة المتاحف والأروقة الفنية مناسبة لاكتشاف التراث المادي,22 يونيو 2023,21:58
مهرجان الرباط كوميدي 2023: اختتام الدورة الرابعة بتتويج الأفلام الفائزة,21 يونيو 2023,23:53
المهرجان الدولي للفيلم الكوميدي الرباط – كوميدي 2023: افتتاح فعاليات,18 يونيو 2023,14:16
الدورة الثانية لليلة المتاحف والأروقة الفنية تنطلق بعدد من مدن,16 يونيو 2023,13:45
وزير الثقافة يزور موقع تصوير فيلم غلادياتور 2 إثر حريق,15 يونيو 2023,11:00
وزارة والثقافة والتواصل: حوالي 205 آلاف زائر للمعرض الدولي للنشر,11 يونيو 2023,16:43
الصالون الدولي للفن المعاصر في دورته السادسة يفتح أبوابه بطنجة,10 يونيو 2023,12:31
المعرض الدولي للنشر والكتاب.. مجلس الجالية المغربية بالخارج يقدم موسوعة,9 يونيو 2023,22:54
جائزة كتارا للرواية العربية 2023: 15 عملا روائيا من المغرب,7 يونيو 2023,15:48
المعرض الدولي للنشر والكتاب 2023: تزايد الإقبال على الكتب باللغة,6 يونيو 2023,22:36
جناح إفريقيا بالمعرض الدولي للنشر والكتاب: منبع ثقافي يغري الزائرين,5 يونيو 2023,22:39
مهرجان ماطا الدولي للفروسية بالعرائش: اختتام فعاليات الدورة الحادية عشرة,5 يونيو 2023,09:33
المعرض الدولي للنشر والكتاب : لقاء حول تكييف الأعمال الأدبية,4 يونيو 2023,22:48
مهرجان ماطا الدولي للفروسية: الدعوة إلى إدراج الحدث بالتراث اللامادي,4 يونيو 2023,16:07
السيدة الأولى للولايات المتحدة الأمريكية جيل بايدن تزور مدرسة بن,4 يونيو 2023,14:00
المعرض الدولي للنشر والكتاب 2023: توقيع رواية سيدات العزيز للأديب,3 يونيو 2023,23:36
المعرض الدولي للنشر والكتاب 2023: مغاربة العالم يولون أهمية بالغة,2 يونيو 2023,22:18
المعرض الدولي للنشر والكتاب 2023: السيد بنسعيد يشرف على انطلاقة,1 يونيو 2023,22:09
جائزة الشيخ زايد للكتاب: فتح باب الترشيح في الدورة ال18,1 يونيو 2023,15:28
سفيان البراق يتوج بجائزة قارئ العام في برنامج إثراء القراءة,28 ماي 2023,09:53
مهرجان كان السينمائي: جوستين ترييه تفوز بالسعفة الذهبية عن فيلمها,27 ماي 2023,23:38
مهرجان كان السينمائي: تتويج الفيلمين المغربيين كلاب الصيد و كذب,27 ماي 2023,06:43
معرض الفن المعاصر آركو لشبونة: مشاركة المغرب في الحدث الفني,26 ماي 2023,22:23
إختتام فعاليات الرباط عاصمة للثقافة الإفريقية,24 ماي 2023,12:42
الإجتماع الوزاري الإفريقي للثقافة: إعلان الرباط يدعو إلى إرساء مقاربة,23 ماي 2023,18:25
السيد بنسعيد: الثقافة تشكل جوهر الهوية الإفريقية,23 ماي 2023,14:40
منتدى عمداء وقادة الجماعات الترابية حول الثقافة يفتتح أشغاله بالرباط,23 ماي 2023,13:03
جائزة قطر العالمية لحوار الحضارات 2023: إطلاق الدورة الرابعة,22 ماي 2023,22:25
السيد بنسعيد يبرز مبادرات الوزارة لرقمنة وتوثيق التراث الثقافي المغربي,22 ماي 2023,20:47
السيد بنسعيد: المغرب منفتح على جميع مقترحات التعاون الإفريقي للرقي,22 ماي 2023,15:53
الندوة الدولية حول التراث الثقافي المغمور بالمياه تنطلق بالرباط,22 ماي 2023,12:25
الجائزة العالمية للرواية العربية: فوز رواية تغريبة القافر للكاتب العماني,21 ماي 2023,21:11
بطولة الدار البيضاء الدولية للإرتجال المسرحي: المغرب وبلجيكا في الدور,20 ماي 2023,11:47
مهرجان Moca 2023: وزير الثقافة يدعو للاستثمار في المواهب الإفريقية,19 ماي 2023,18:42
السيد بنسعيد: رواق كبير وأديب نيجيري مرموق يمثلان الآداب الإفريقية,19 ماي 2023,15:41
المعرض الدولي للنشر والكتاب الرباط 2023: 737 عارضا يمثلون 51,19 ماي 2023,15:29
جائزة الملك فيصل للغة العربية والأدب تكرم الكاتب عبد الفتاح,17 ماي 2023,21:01
مذكرة للتعاون الثقافي بين المغرب و السعودية,17 ماي 2023,09:37
رقميات الرباط: انطلاق فعاليات الدورة الأولى من الحدث,15 ماي 2023,22:35
نقابة مهنيي الفنون الدرامية تنعي الفنان محمد بلفقيه,11 ماي 2023,12:46
المهرجان الوطني للمسرح المدرسي: وزير التربية الوطنية والتعليم الأولي والرياضة,11 ماي 2023,00:44
توقيع اتفاقية توأمة بين العيون وهوليود: تجسيد للاعتراف الأمريكي بمغربية,10 ماي 2023,22:39
الطائفة اليهودية المغربية تحتفل بموسم الولي رابي نسيم بن نسيم,9 ماي 2023,10:40
مهرجان سيدي بطاش للتبوريدة: اختتام فعاليات الدورة ال15 ببنسليمان,8 ماي 2023,22:22
2023 Rabat Design Week: الرباط تحتضن فعاليات النسخة الأولى,8 ماي 2023,18:18
المهرجان الدولي للسينما الإفريقية بخريبكة: عرض فيلم كوربيس للمخرج مراد,7 ماي 2023,19:41
المهرجان الافريقي للمسلسلات التلفزيونية بدكار يمنح جائزة افضل مسلسل قصير,7 ماي 2023,17:35
مهرجان الشعر الإفريقي يفتتح دورته الأولى بالرباط,6 ماي 2023,11:53
افتتاح المعرض التراثي للباس المخزني بمراكش,6 ماي 2023,09:52
سعد لمجرد يطلق أغنية آش خبارك,4 ماي 2023,22:09
المنظمة العربية للتنمية الإدارية تنظم الملتقى الثاني لإدارة التراث ومؤسساته,2 ماي 2023,20:35
برنامج القانون عبر الفن ينطلق الجمعة المقبلة بطنجة,1 ماي 2023,17:04
مهرجان كوميديا الحي المحمدي يسدل الستار على دورته الثانية,1 ماي 2023,13:15
مهرجان المسرح الإفريقي يختتم دورته الأولى,1 ماي 2023,13:04
مهرجان الرباط الدولي للفيلم الوثائقي الإفريقي: اختتام الحدث بتوزيع الجوائز,29 أبريل 2023,23:33
الصويرة تحتفي بفصل الربيع والتراث عبر برمجة ثقافية,29 أبريل 2023,15:30
مهرجان المسلسلات الإفريقية سلسلة دكار في دورته الأولى خلال ماي,29 أبريل 2023,10:15
إفتتاح متحف الفن بأكادير بحضور رئيس الحكومة ووزير الثقافة,28 أبريل 2023,18:51
أصوات الكورال تأسر قلب إسطنبول بإبداعات موسيقية تنهل من الموروث,28 أبريل 2023,17:35
مهرجان التيرانغا السينمائي 2023: افتتاح الدورة الرابعة بدكار بمشاركة المغرب,28 أبريل 2023,08:56
مهرجان إفريقيا المتنقل للضحك في دورته الرابعة ينطلق من الدار,27 أبريل 2023,18:07
وزارة الثقافة تمدد أجل الترشيح للاستفادة من دعم المشاريع في,27 أبريل 2023,17:27
الجائزة الكبرى للشعر الأفريقي: الشّاعر السينغالي أمادو لامين صال يفوز,25 أبريل 2023,12:56
بطولة العالم للقراءة السريعة ورسم الخرائط الذهنية يومي 29 و30,23 أبريل 2023,19:13
أيام فريدة بنليزيد: تسليط الضوء على الأعمال السينمائية لأول سيناريست,22 أبريل 2023,20:29
إطلاق برنامج دعم المشاريع الثقافية والفنية برسم 2023,18 أبريل 2023,17:35
برنامج دعم ريادة الأعمال الثقافية كواليس.. بدأ تقديم المشاريع,18 أبريل 2023,16:09
السباق الرياضي والتضامني لاديفا رن في نسخته السادسة بالدار البيضاء,18 أبريل 2023,15:06
وزارة الثقافة تفتح باب الترشيح لدعم الموسيقى و الفنون التشكيلية,17 أبريل 2023,15:09
المهرجان الدولي للسينما الإفريقية بخريبكة: مشاركة 15 فيلما قصيرا في,16 أبريل 2023,18:40
مهرجان كان: فيلمان مغربيان يشاركان ضمن فئة نظرة ما,13 أبريل 2023,15:38
لجنة دعم المهرجانات والتظاهرات السينمائية تخصص 5 ملايين و700 ألف,12 أبريل 2023,23:02
مؤسسة المدى تنظم بالرباط سلسلة محاضرات شهرية حول التراث الفلسفي,10 أبريل 2023,20:44
أمسية على إيقاعات الملحون والأغاني الدينية تكريما لروح الراحل الحاج,9 أبريل 2023,19:54
أمسية رمضانية في فن المديح والسماع بمدينة وجدة,9 أبريل 2023,14:33
تنظيم النسخة الأولى من الجائزة الكبرى للتراث,8 أبريل 2023,17:26
مسابقة الشعراء الشباب 2023: إطلاق باب المشاركة في الدورة الثانية,6 أبريل 2023,21:46
تمديد عملية دعم مشاريع النشر والكتاب لسنة 2023,4 أبريل 2023,16:41
لجنة دعم إنتاج الأعمال السينمائية تكشف عن مشاريع الأفلام المستفيدة,3 أبريل 2023,20:44
تعيين خديجة العلمي العروسي رئيسة للجنة دعم تنظيم المهرجانات السينمائية,3 أبريل 2023,15:22
وفاة المسرحي أحمد جواد متأثرا بحروقه,2 أبريل 2023,16:25
مهرجان أجي تهضم: عرض إفريقيا للضحك يحتفي بالفكاهة الإفريقية,2 أبريل 2023,14:35
تنظيم احتفالية لتكريم روح الطيب الصديقي وإرثه الفني بالدار البيضاء,1 أبريل 2023,12:03
تنظيم احتفالية لتكريم روح الطيب الصديقي وإرثه الفني بالدار البيضاء,1 أبريل 2023,12:03
المكتبة الوطنية للمملكة المغربية ولجنة التربية والعلوم والثقافة يوقعان إتفاقية,31 مارس 2023,16:00
مهرجان كناوة وموسيقى العالم: تحديد موعد الدورة 24 بالصويرة,30 مارس 2023,21:30
معرض تشكيلي لجميلة علوش في إطار البرنامج الثقافي الرمضاني لوزارة,30 مارس 2023,16:02
وزارة الثقافة توضح بشأن حرق فنان مسرحي لجسمه بالرباط,27 مارس 2023,15:37
ليلى مزيان بنجلون تفوز بجائزة البحر الأبيض المتوسط ​​للمرأة,26 مارس 2023,17:48
الرباط تحتضن الدورة السادسة لمهرجان الضحك آجي تهضم,23 مارس 2023,15:17
السيد بنسعيد يترأس حفل افتتاح مسرح عفيفي بالجديدة,23 مارس 2023,10:12
السيد بنسعيد يزور عددا من المواقع الأثرية والمشاريع الثقافية بآسفي,22 مارس 2023,10:18
وكالة بيت مال القدس تنظم معرض الشعر بألوان القدس,21 مارس 2023,13:03
الروائي المغربي عبد الفتاح كيليطو يتسلم جائزة الملك فيصل,20 مارس 2023,21:20
مصطفى رجوان يتوج بجائزة البابطين للإبداع الشعري في فرع أفضل,19 مارس 2023,16:29
جائزة الشيخ زايد للكتاب: مغربي ضمن قائمة فئة الترجمة,18 مارس 2023,09:45
أكاديمية المملكة المغربية تطلق مسابقتين حول أعمال الفنان هنري ماتيس,17 مارس 2023,16:53
إختتام النسخة الأولى من مسابقات رباط الشباب,17 مارس 2023,11:06
الهيئة العربية للمسرح: تعيين مغربي عضوا في مجلس الأمناء,14 مارس 2023,12:04
وزارة الثقافة تنظم يوما دراسيا حول الإستثمار المسرحي والمهرجانات المسرحية,14 مارس 2023,11:03
أيام السينما الإفريقية بالرباط Roots Rabat: افتتاح فعاليات الدورة الأولى,13 مارس 2023,01:05
مسابقة المحكمة الصورية العربي بالكويت..جامعة القاضي عياض بمراكش تفوز باللقب,12 مارس 2023,15:58
معرض صور لزيارة جلالة الملك محمد السادس للأقاليم الجنوبية للمصور,11 مارس 2023,22:01
التعايش اليهودي الإسلامي بالجنوب المغربي ..كلميم تحتضن الندوة,11 مارس 2023,09:42
دعم مشاريع النشر والكتاب 2023: إطلاق عملية الترشيح,10 مارس 2023,10:57
مبادرة الموهوبون العرب بالرياض: تلميذ مغربي يتوج بالمركز الأول,9 مارس 2023,17:26
مسابقة أمير الشعراء: المغرب يحتل الرتبة الرابعة,9 مارس 2023,16:56
جائزة الشيخ زايد للكتاب: مؤلف مغربي ضمن القائمة القصيرة في,9 مارس 2023,15:11
جائزة مبدعات: تتويج الفائزات بالنسخة الثانية,9 مارس 2023,11:42
وزارة الثقافة تنظم اللقاء الوطني للأندية النسوية ومراكز التكوين المهني,8 مارس 2023,18:51
الرفع من القيمة المادية لجائزة المغرب للكتاب,8 مارس 2023,18:37
المواطنة و التراث الثقافي المغربي: عنوان ندوة وطنية بمتحف محمد,7 مارس 2023,22:48
جائزة الحسن الثاني للمخطوطات 2023: صور من فعاليات الدورة ال42,7 مارس 2023,22:44
الرباط تحتضن المؤتمر التأسيسي لرابطة كاتبات إفريقيا يوم 9 مارس,5 مارس 2023,19:58
صحيفة كولومبية تبدي إعجابها بالمؤهلات السينمائية للمغرب,3 مارس 2023,18:44
إحداث الشبكة المغربية لمؤسسات التكوين في الإعلام والاتصال,3 مارس 2023,13:06
خزانة المفكر الجزائري محمد أركون تمنح لفائدة المكتبة الوطنية للمملكة,1 مارس 2023,23:16
سعد لمجرد يقرر استئناف الحكم,28 فبراير 2023,16:10
ديزني متهمة بنشر المثلية والعنصرية,28 فبراير 2023,12:39
محامي سعد لمجرد: الحكم لايستند على أدلة مادية أو طبية,27 فبراير 2023,13:48
نقش تيفيناغ : إكتشاف قد يعود إلى عصور ما قبل,26 فبراير 2023,12:15
مصطفى الآغا يدافع عن سعد لمجرد: أدخلته بيتي,26 فبراير 2023,09:59
المركز السينمائي المغربي: تعيين أعضاء لجنة دعم إنتاج الأعمال السينمائية,25 فبراير 2023,10:33
القضاء الفرنسي يحكم بحبس سعد لمجرد 6 سنوات,24 فبراير 2023,18:05
تدشين متحف التراث اللامادي بساحة جامع لفنا,23 فبراير 2023,20:15
سعد لمجرد ينفي تهمة اغتصاب الشابة الفرنسية,23 فبراير 2023,11:27
جديد قضية النجم المغربي سعد لمجرد,22 فبراير 2023,17:00
جائزة أطروحتي في 1000 كلمة.. طالبتان مغربيتان تظفران بالمركزين الثاني,22 فبراير 2023,15:33
مهرجان الإسكندرية للفيلم القصير: الفيلم المغربي شرعة يفوز بجائزة هيباتيا,21 فبراير 2023,22:41
سعد لمجرد يمثل أمام القضاء الفرنسي,20 فبراير 2023,14:43
زائرة معرض تحطم منحوتة بقيمة 42 ألف دولار,19 فبراير 2023,12:38
محاكمة سعد لمجرد تنطلق الإثنين في باريس,18 فبراير 2023,14:51
الناقد المغربي عبد الرحيم وهابي ينال جائزة الطيب صالح العالمية,17 فبراير 2023,11:09
مهرجان الإسكندرية للفيلم القصير 2023: انطلاق فعاليات الدورة التاسعة بمشاركة,16 فبراير 2023,22:30
فيلم ضاضوس يتصدر مداخيل دور السينما بالمغرب,13 فبراير 2023,09:26
مسرح سرفانتيس طنجة: رسميا نقل ملكية المعلمة التاريخية إلى المغرب,12 فبراير 2023,15:25
المعهد الملكي للثقافة الأمازيغية يحتفي بالذكرى الـ 20 للاعتراف الرسمي,10 فبراير 2023,20:25
مهرجان سينيمانا الدولي الرابع: تتويج الفيلم المغربي نعيمة بالجائزة الثانية,9 فبراير 2023,23:31
المهرجان الدولي لسينما التحريك فيكام 2023: مكناس تحتضن النسخة ال21,7 فبراير 2023,23:57
بطاقة الفنان 2023: وزارة الثقافة تُطلق خدمة طلب البطائق المهنية,7 فبراير 2023,23:04
أنيس الرافعي يفوز بجائزة الملتقى للقصة القصيرة العربية,7 فبراير 2023,20:20
دار الآلة طنجة… معلمة جديدة تنضاف الى المشهد الثقافي و,5 فبراير 2023,11:32
السيد بنسعيد يتفقد مرافق ثقافية وشبابية بمدينة الداخلة,4 فبراير 2023,21:31
الفنان المغربي محمد الغاوي في ذمة الله,4 فبراير 2023,20:10
السيد محمد المهدي بنسعيد يزور مشاريع ثقافية وتراثية بجهة مراكش,27 يناير 2023,23:38
مؤسسة الفنون والثقافات تدشن معهدها متعدد التخصصات بمراكش,26 يناير 2023,09:55
الفنانة خديجة أسد تغادر إلى دار البقاء,26 يناير 2023,00:22
مهرجان الأقصر للسينما الإفريقية 2023: فيلمان مغربيان ضمن المسابقة,22 يناير 2023,17:49
المعرض الدولي للكتاب والنشر 2023 : موعد ومكان تنظيم النسخة,21 يناير 2023,23:45
المعرض الدولي للنشر والكتاب 2023: الإعلان عن موعد تنظيم الدورة,21 يناير 2023,10:04
الفنان سامي يوسف يطلق أغنيته الجديدة Veritas,19 يناير 2023,16:35
فيلمان مغربيان يحصلان على دعم صندوق البحر الأحمر بالسعودية,19 يناير 2023,11:04
مهرجان الشارقة للشعر العربي 2023، ندوة بعنوان الشعر بين التعبير,18 يناير 2023,18:31
المتحف الوطني للحلي بالاوداية يحطم جميع الأرقام من حيث عدد,16 يناير 2023,15:15
تطوان تحتضن معرضاً تشكيلياً للفنانة جميلة العلوي مريبطو,16 يناير 2023,13:44
فيلم حبال المودة يفوز بجائزة أفضل فيلم روائي دولي بمهرجان,15 يناير 2023,14:58
تنظيم الدورة الخامسة لملتقى تارودانت,14 يناير 2023,14:05
توقيع ديوان الرسم بالكلمات والألوان للشاعرة سعاد خزرون وتكريم أدباء,13 يناير 2023,23:50
معرض أسد الأطلس: الوزير المهدي بنسعيد يشرف على افتتاح المعرض,13 يناير 2023,23:40
مسرح محمد الخامس يحتضن احتفالية بمناسبة السنة الأمازيغية 2973,13 يناير 2023,23:13
حفلات (إيض ن ايناير) 2973 تلهب حماس جمهور أكادير,13 يناير 2023,22:44
المهرجان السعودي للتصميم 2023: المغربي هشام لحلو يمثل رئيس منظمة,13 يناير 2023,17:53
مهرجان الكتاب الإفريقي مراكش 2023 : تنظيم النسخة الأول من,13 يناير 2023,16:19
الفنانة منال بنشليخة تحصل على الفيزا الفرنسية بعد تدخل وزير,13 يناير 2023,13:47
الاحتفال بالسنة الأمازيغية 2973 … التفاصيل مع باحث بالمعهد الملكي,12 يناير 2023,11:46
مهرجان الشارقة للشعر العربي 2023 : المغرب ضيف الدورة 19,11 يناير 2023,14:56
عبد العزيز البوزدايني مديرا جديدا للمركز السينمائي المغربي بالنيابة,10 يناير 2023,17:44
برنامج أمير الشعراء 2023 : مشارك مغربي ضمن ثاني الحلقات,10 يناير 2023,12:57
المجلس الوطني للموسيقى: سهرة لتكريم الفنان الراحل حسن مكري بمسرح,9 يناير 2023,15:33
مهرجان باشيخ للسنة الأمازيغية يناقش التلاقح الثقافي الموري الإيبيري,9 يناير 2023,12:55
بوركينا فاسو: الدورة الـ 28 للمهرجان الإفريقي للسينما والتلفزيون بواغادوغو,8 يناير 2023,14:44
جائزة المغرب للفروسية تحتفي بالفرسان والفارسات المغاربة المتألقين خلال 2022,8 يناير 2023,13:53
مؤسسة المدى تنظم أمسيات فيلا الفنون الفلسفية بالرباط,6 يناير 2023,21:00
الرابور المغربي فرنش مونتانا يستضيف أشرف حكيمي,6 يناير 2023,14:03
جائزة الملك فيصل للغة العربية والأدب 2023: تتويج الروائي المغربي,4 يناير 2023,23:23
وفاة كريم بناني، أحد رواد الفن التشكيلي المغربي الحديث,3 يناير 2023,16:06
جائزة الملتقى للقصة القصيرة العربية 2023 :مغربي ضمن القائمة القصيرة,3 يناير 2023,10:40
تشييع جنازة الفنان عبد الرحيم التونسي بمقبرة الشهداء,2 يناير 2023,22:15
الفنان الكوميدي الكبير عبد الرؤوف في ذمة الله,2 يناير 2023,09:10
جائزة الشارقة لنقد الشعر العربي 2022 :ناقدان مغربيان يفوزان بالجائزة,29 دجنبر 2022,23:30
الجائزة الوطنية للفنون التشكيلية 2022: المهدي بنسعيد يترأس حفل تسليم,26 دجنبر 2022,22:22
فيلم النزال الأخير في القاعات السينمائية ابتداء من 28 دجنبر,26 دجنبر 2022,18:56
المركز السينمائي المغربي يعتزم إصلاح منظومة الدعم العمومي للشريط الوثائقي,26 دجنبر 2022,18:39
الإسيسكو تعلن عن أسماء الفائزين بجائزتها الشعرية عاصمة الثقافة في,26 دجنبر 2022,18:22
مركز التفتح الفني و الأدبي بطنجة يحتفل باليوم العالمي للغة,26 دجنبر 2022,14:05
فيلم حبال المودة يفوز بالجائزة الكبرى لمهرجان أيام فاس للتواصل,26 دجنبر 2022,12:04
أسا الزاك: انطلاق فعاليات الدورة الثالثة للمهرجان الدولي للرحل,25 دجنبر 2022,12:22
المعرض الجهوي للصناعة التقليدية 2022، تحت شعار: الصناعة التقليدية، موروث,23 دجنبر 2022,23:22
المهرجان الوطني للمسرح: تكريم رواد من التجربة المسرحية المغربية,22 دجنبر 2022,23:11
المهرجان الوطني للمسرح 2022: افتتاح فعاليات الدورة 22 بمدينة تطوان,22 دجنبر 2022,22:25
عمان : الفيلم المغربي أسماك حمراء يفوز بجائزة أفضل عمل,22 دجنبر 2022,20:17
الفيلم المغربي أزرق القفطان ضمن القائمة المختصرة لجوائز الأوسكار لعام,22 دجنبر 2022,17:03
محمد أوكاماضان : اللغة العربية حققت توسعا مطرداً منذ الاعتراف,19 دجنبر 2022,12:22
مراكش ..انطلاق فعاليات الملتقى الجهوي الأول للمسرح,17 دجنبر 2022,21:55
دعم الإنتاج السينمائي : الإعلان عن مشاريع الأفلام المستفيدة من,17 دجنبر 2022,13:22
بوكيمون تطلق رسوم متحركة جديدة,17 دجنبر 2022,10:53
رومان سايس بطل فيلم وثائقي على نيتفليكس,15 دجنبر 2022,20:52
تتويج الفائزين بالجائزة الوطنية الكبرى للصحافة في دورتها العشرين,9 دجنبر 2022,22:31
تعيين لطيفة أحرار مديرة للمعهد العالي للفن المسرحي والتنشيط الثقافي,8 دجنبر 2022,15:15
مراكش : انطلاق الدورة السابعة للأسبوع الوطني للصناعة التقليدية 2022,5 دجنبر 2022,10:23
مهرجان عرس الصحراء 2022 :الداخلة تعيش على إيقاع الدورة الأولى,5 دجنبر 2022,09:54
